tb	Rc
11.380000	2.741022
11.390000	2.740596
11.400000	2.740169
11.410000	2.739742
11.420000	2.739315
11.430000	2.738887
11.440000	2.738458
11.450000	2.738029
11.460000	2.737599
11.470000	2.737169
11.480000	2.736738
11.490000	2.736307
11.500000	2.735875
11.510000	2.735443
11.520000	2.735010
11.530000	2.734577
11.540000	2.734143
11.550000	2.733708
11.560000	2.733273
11.570000	2.732838
11.580000	2.732402
11.590000	2.731965
11.600000	2.731528
11.610000	2.731091
11.620000	2.730653
11.630000	2.730214
11.640000	2.729775
11.650000	2.729335
11.660000	2.728895
11.670000	2.728454
11.680000	2.728013
11.690000	2.727571
11.700000	2.727128
11.710000	2.726686
11.720000	2.726242
11.730000	2.725798
11.740000	2.725354
11.750000	2.724909
11.760000	2.724463
11.770000	2.724017
11.780000	2.723571
11.790000	2.723124
11.800000	2.722676
11.810000	2.722228
11.820000	2.721779
11.830000	2.721330
11.840000	2.720880
11.850000	2.720430
11.860000	2.719979
11.870000	2.719528
11.880000	2.719076
11.890000	2.718623
11.900000	2.718170
11.910000	2.717717
11.920000	2.717263
11.930000	2.716808
11.940000	2.716353
11.950000	2.715898
11.960000	2.715442
11.970000	2.714985
11.980000	2.714528
11.990000	2.714070
12.000000	2.713612
12.010000	2.713153
12.020000	2.712694
12.030000	2.712234
12.040000	2.711774
12.050000	2.711313
12.060000	2.710852
12.070000	2.710390
12.080000	2.709928
12.090000	2.709465
12.100000	2.709001
12.110000	2.708537
12.120000	2.708073
12.130000	2.707607
12.140000	2.707142
12.150000	2.706676
12.160000	2.706209
12.170000	2.705742
12.180000	2.705274
12.190000	2.704806
12.200000	2.704337
12.210000	2.703868
12.220000	2.703398
12.230000	2.702928
12.240000	2.702457
12.250000	2.701986
12.260000	2.701514
12.270000	2.701041
12.280000	2.700568
12.290000	2.700095
12.300000	2.699621
12.310000	2.699146
12.320000	2.698671
12.330000	2.698196
12.340000	2.697720
12.350000	2.697243
12.360000	2.696766
12.370000	2.696288
12.380000	2.695810
12.390000	2.695331
12.400000	2.694852
12.410000	2.694372
12.420000	2.693892
12.430000	2.693411
12.440000	2.692930
12.450000	2.692448
12.460000	2.691966
12.470000	2.691483
12.480000	2.690999
12.490000	2.690516
12.500000	2.690031
12.510000	2.689546
12.520000	2.689061
12.530000	2.688575
12.540000	2.688088
12.550000	2.687601
12.560000	2.687113
12.570000	2.686625
12.580000	2.686137
12.590000	2.685648
12.600000	2.685158
12.610000	2.684668
12.620000	2.684177
12.630000	2.683686
12.640000	2.683194
12.650000	2.682702
12.660000	2.682209
12.670000	2.681716
12.680000	2.681222
12.690000	2.680728
12.700000	2.680233
12.710000	2.679737
12.720000	2.679242
12.730000	2.678745
12.740000	2.678248
12.750000	2.677751
12.760000	2.677253
12.770000	2.676754
12.780000	2.676255
12.790000	2.675756
12.800000	2.675256
12.810000	2.674756
12.820000	2.674254
12.830000	2.673753
12.840000	2.673251
12.850000	2.672748
12.860000	2.672245
12.870000	2.671742
12.880000	2.671238
12.890000	2.670733
12.900000	2.670228
12.910000	2.669722
12.920000	2.669216
12.930000	2.668710
12.940000	2.668202
12.950000	2.667695
12.960000	2.667187
12.970000	2.666678
12.980000	2.666169
12.990000	2.665659
13.000000	2.665149
13.010000	2.664638
13.020000	2.664127
13.030000	2.663615
13.040000	2.663103
13.050000	2.662590
13.060000	2.662077
13.070000	2.661563
13.080000	2.661049
13.090000	2.660534
13.100000	2.660019
13.110000	2.659503
13.120000	2.658987
13.130000	2.658470
13.140000	2.657953
13.150000	2.657435
13.160000	2.656917
13.170000	2.656398
13.180000	2.655879
13.190000	2.655359
13.200000	2.654839
13.210000	2.654318
13.220000	2.653797
13.230000	2.653275
13.240000	2.652753
13.250000	2.652230
13.260000	2.651707
13.270000	2.651183
13.280000	2.650659
13.290000	2.650134
13.300000	2.649609
13.310000	2.649083
13.320000	2.648557
13.330000	2.648030
13.340000	2.647503
13.350000	2.646975
13.360000	2.646447
13.370000	2.645918
13.380000	2.645389
13.390000	2.644859
13.400000	2.644329
13.410000	2.643798
13.420000	2.643267
13.430000	2.642735
13.440000	2.642203
13.450000	2.641671
13.460000	2.641138
13.470000	2.640604
13.480000	2.640070
13.490000	2.639535
13.500000	2.639000
13.510000	2.638465
13.520000	2.637929
13.530000	2.637392
13.540000	2.636855
13.550000	2.636318
13.560000	2.635780
13.570000	2.635241
13.580000	2.634702
13.590000	2.634163
13.600000	2.633623
13.610000	2.633083
13.620000	2.632542
13.630000	2.632001
13.640000	2.631459
13.650000	2.630916
13.660000	2.630374
13.670000	2.629830
13.680000	2.629287
13.690000	2.628743
13.700000	2.628198
13.710000	2.627653
13.720000	2.627107
13.730000	2.626561
13.740000	2.626015
13.750000	2.625468
13.760000	2.624920
13.770000	2.624372
13.780000	2.623824
13.790000	2.623275
13.800000	2.622725
13.810000	2.622176
13.820000	2.621625
13.830000	2.621074
13.840000	2.620523
13.850000	2.619972
13.860000	2.619419
13.870000	2.618867
13.880000	2.618314
13.890000	2.617760
13.900000	2.617206
13.910000	2.616652
13.920000	2.616097
13.930000	2.615541
13.940000	2.614985
